Sentiment	SentimentText
0	watch it ,please
0	ca si pe restul de mai sus, poate acelea erau mai tehnice , asta e mai light
0	da, la ora 830 9
0	@BoogeyBots
0	care suint la scoala
0	Toti din echipa
0	@Danut - RO141 BoogeyBots
0	Its ok for me so
0	Sa inteleg ca doar 3 persoane au vazut mesajul?
0	la dirigentie da
0	@BoogeyBots ati putea in seara asta sa ne auzim pe discord ca sa stabilim planul pentru joi, cand o sa prezentam echipa pe la clase in liceu, si pentru weekend? In seara asta, pe la 18 /19/20, ce ora e mai ok ptr toti
0	daca ajungi sa treci la internationala , o sa ai o luna intre cele doua competitii. Si la nationala o sa fie mentori din afara. Un caiet in romana nu o sa faca impresia necesara si nu toti o sa il inteleaga la nationala, iar daca ajungem cumva la internationala nu o sa ai timp sa il traduci.
0	nickname Nume[echipa][rol]
0	acum mai stati oleaca
0	daca intrati pe server
0	care era linku catre documentatia de la imprimanta
0	@Danut - RO141 BoogeyBots  hi
0	e ok daca dau share
0	la postul cu formu de inscriere
0	pe pagina iar
0	?
0	nu-mi merge bine romana acum
0	am nev de minium un da e ok
0	minimum*
0	nu pot sa ma uit acum , incerc sa fac lista cu piese pana in 8
0	sincer , nu stiu sigur, dar cred ca sunt licente free pentru studenti
0	idk , unu , nici eu nu stiu
0	@Andrei - RO141 BoogeyBots  @Danut - RO141 BoogeyBots  puteti intra pe discord azi ?
0	nu la ora aia
0	pentru piese
0	ca sa stabilim lista
0	de care avem nevoie
0	Am vb cu frfeka, am rezolvat intratul in liceu
0	6 fara 10
0	@BoogeyBots sper ca puteti lua toti tricouri albe la voi
0	Le luam atunci
0	La 6
0	Deci la 6 fara 10 suntem acolo
0	dap
0	Mai stii robotu vechu?
0	Nu mai e robotu vechu
0	Asa ai auzit?
0	:)))
0	:((((((((
0	@Tudor - RO141 BoogeyBots nu se mai face :)))
1	Search Bar dar anyway
1	Si se pot organiza si pe discord , pentru ca data in care le-am trimis, dar yea, sunt ok de pus si pe drive
1	Nu inteleg cum e ceva contra din fraza " Si se pot organiza si pe discord , pentru ca data in care le-am trimis, dar yea, sunt ok de pus si pe drive" , dar ok nice , thanks for feedback
1	Da, fie cum zici si cum doresti.
1	In fine, normal, trebuie revizuit
1	Profesorii sunt mai intelegatori Dar da, ar fi ok sa dam la ore saptamana viitoare
1	Pai, daca o spui asa pare anost, dar da. 
1	Yea,ok, i was just saying, dar ganditi-va ca pe un poster scrisu ala o sa fie ff mare
1	imi placea scriptu , dar e okaish si asa
1	imi placea scriptu , dar merge si asa
1	Intr-o alta ordine de idei, ai putea sa nu sari direct in capu meu si sa o iei mai chill, dar anyway.
1	Intr-o alta ordine de idei, ai putea sa nu sari direct in capu meu si sa o iei mai chill, dar in fine.
1	El nu doar ca ti-a zis ca merge, te-a asigurat ca poate sa mearga. Dar anyway , las-o balta
1	El nu doar ca ti-a zis ca merge, te-a asigurat ca poate sa mearga. Dar oricum , las-o balta
1	El nu doar ca ti-a zis ca merge, te-a asigurat ca poate sa mearga. Dar in fine , las-o balta
1	Era deja facut dar anyway
1	Era deja facut dar oricum
1	da, dar
1	dar
1	vedem, dar again asta poate discutam later
1	yea , got it , dar strategii, idei , chestii , nu strica niciodata
1	da, e bine, dar altfel
1	mergea altfel, dar in fine
1	bine , te inteleg,dar nu ca tine
1	merge, dar mai bine altfel
1	yea ok, dar mai bine altfel
1	in fine merge, dar mai bine altfel
1	nu-mi prea place, dar ok
1	nu-mi prea place, dar in fine
1	nu-mi prea place, dar yea, merge
1	se putea si asa, dar in fine
1	se putea si asa, dar ok
1	se putea si asa, dar yea
1	se putea si asa, dar yea, ok